[Syscall Table from C:\Windows\System32\ntdll.dll]

---------------------------------------------------------------------------------
| Syscall Name                                          | Number | Number (hex) |
| NtCreatePrivateNamespace                              | 189    | 0x00BD       |
| NtCreateProcess                                       | 190    | 0x00BE       |
| NtCreateProcessEx                                     | 77     | 0x004D       |
| NtCreateProcessStateChange                            | 191    | 0x00BF       |
| NtCreateProfile                                       | 192    | 0x00C0       |
| NtCreateProfileEx                                     | 193    | 0x00C1       |
| NtCreateRegistryTransaction                           | 194    | 0x00C2       |
| NtCreateResourceManager                               | 195    | 0x00C3       |
| NtCreateSection                                       | 74     | 0x004A       |
| NtCreateSectionEx                                     | 196    | 0x00C4       |
| NtCreateSemaphore                                     | 197    | 0x00C5       |
| NtCreateSymbolicLinkObject                            | 198    | 0x00C6       |
| NtCreateThread                                        | 78     | 0x004E       |
| NtCreateThreadEx                                      | 199    | 0x00C7       |
| NtCreateThreadStateChange                             | 200    | 0x00C8       |
| NtCreateTimer                                         | 201    | 0x00C9       |
| NtCreateTimer2                                        | 202    | 0x00CA       |
| NtCreateToken                                         | 203    | 0x00CB       |
| NtCreateTokenEx                                       | 204    | 0x00CC       |
| NtCreateTransaction                                   | 205    | 0x00CD       |
| NtCreateTransactionManager                            | 206    | 0x00CE       |
| NtCreateUserProcess                                   | 207    | 0x00CF       |
| NtCreateWaitCompletionPacket                          | 208    | 0x00D0       |
| NtCreateWaitablePort                                  | 209    | 0x00D1       |
| NtCreateWnfStateName                                  | 210    | 0x00D2       |
| NtCreateWorkerFactory                                 | 211    | 0x00D3       |
| NtDebugActiveProcess                                  | 212    | 0x00D4       |
| NtDebugContinue                                       | 213    | 0x00D5       |
| NtDelayExecution                                      | 52     | 0x0034       |
| NtDeleteAtom                                          | 214    | 0x00D6       |
| NtDeleteBootEntry                                     | 215    | 0x00D7       |
| NtDeleteDriverEntry                                   | 216    | 0x00D8       |
| NtDeleteFile                                          | 217    | 0x00D9       |
| NtDeleteKey                                           | 218    | 0x00DA       |
| NtDeleteObjectAuditAlarm                              | 219    | 0x00DB       |
| NtDeletePrivateNamespace                              | 220    | 0x00DC       |
| NtDeleteValueKey                                      | 221    | 0x00DD       |
| NtDeleteWnfStateData                                  | 222    | 0x00DE       |
| NtDeleteWnfStateName                                  | 223    | 0x00DF       |
| NtDeviceIoControlFile                                 | 7      | 0x0007       |
| NtDirectGraphicsCall                                  | 224    | 0x00E0       |
| NtDisableLastKnownGood                                | 225    | 0x00E1       |
| NtDisplayString                                       | 226    | 0x00E2       |
| NtDrawText                                            | 227    | 0x00E3       |
| NtDuplicateObject                                     | 60     | 0x003C       |
| NtDuplicateToken                                      | 66     | 0x0042       |
| NtEnableLastKnownGood                                 | 228    | 0x00E4       |
| NtEnumerateBootEntries                                | 229    | 0x00E5       |
| NtEnumerateDriverEntries                              | 230    | 0x00E6       |
| NtEnumerateKey                                        | 50     | 0x0032       |
| NtEnumerateSystemEnvironmentValuesEx                  | 231    | 0x00E7       |
| NtEnumerateTransactionObject                          | 232    | 0x00E8       |
| NtEnumerateValueKey                                   | 19     | 0x0013       |
| NtExtendSection                                       | 233    | 0x00E9       |
| NtFilterBootOption                                    | 234    | 0x00EA       |
| NtFilterToken                                         | 235    | 0x00EB       |
| NtFilterTokenEx                                       | 236    | 0x00EC       |
| NtFindAtom                                            | 20     | 0x0014       |
| NtFlushBuffersFile                                    | 75     | 0x004B       |
| NtFlushBuffersFileEx                                  | 237    | 0x00ED       |
| NtFlushInstallUILanguage                              | 238    | 0x00EE       |
| NtFlushInstructionCache                               | 239    | 0x00EF       |
| NtFlushKey                                            | 240    | 0x00F0       |
| NtFlushProcessWriteBuffers                            | 241    | 0x00F1       |
| NtFlushVirtualMemory                                  | 242    | 0x00F2       |
| NtFlushWriteBuffer                                    | 243    | 0x00F3       |
| NtFreeUserPhysicalPages                               | 244    | 0x00F4       |
| NtFreeVirtualMemory                                   | 30     | 0x001E       |
| NtFreezeRegistry                                      | 245    | 0x00F5       |
| NtFreezeTransactions                                  | 246    | 0x00F6       |
| NtFsControlFile                                       | 57     | 0x0039       |
| NtGetCachedSigningLevel                               | 247    | 0x00F7       |
| NtGetCompleteWnfStateSubscription                     | 248    | 0x00F8       |
| NtGetContextThread                                    | 249    | 0x00F9       |
| NtGetCurrentProcessorNumber                           | 250    | 0x00FA       |
| NtGetCurrentProcessorNumberEx                         | 251    | 0x00FB       |
| NtGetDevicePowerState                                 | 252    | 0x00FC       |
| NtGetMUIRegistryInfo                                  | 253    | 0x00FD       |
| NtGetNextProcess                                      | 254    | 0x00FE       |
| NtGetNextThread                                       | 255    | 0x00FF       |
| NtGetNlsSectionPtr                                    | 256    | 0x0100       |
| NtGetNotificationResourceManager                      | 257    | 0x0101       |
| NtGetWriteWatch                                       | 258    | 0x0102       |
| NtImpersonateAnonymousToken                           | 259    | 0x0103       |
| NtImpersonateClientOfPort                             | 31     | 0x001F       |
| NtImpersonateThread                                   | 260    | 0x0104       |
| NtInitializeEnclave                                   | 261    | 0x0105       |
| NtInitializeNlsFiles                                  | 262    | 0x0106       |
| NtInitializeRegistry                                  | 263    | 0x0107       |
| NtInitiatePowerAction                                 | 264    | 0x0108       |
| NtIsProcessInJob                                      | 79     | 0x004F       |
| NtIsSystemResumeAutomatic                             | 265    | 0x0109       |
| NtIsUILanguageComitted                                | 266    | 0x010A       |
| NtListenPort                                          | 267    | 0x010B       |
| NtLoadDriver                                          | 268    | 0x010C       |
| NtLoadEnclaveData                                     | 269    | 0x010D       |
| NtLoadKey                                             | 270    | 0x010E       |
| NtLoadKey2                                            | 271    | 0x010F       |
| NtLoadKey3                                            | 272    | 0x0110       |
| NtLoadKeyEx                                           | 273    | 0x0111       |
| NtLockFile                                            | 274    | 0x0112       |
| NtLockProductActivationKeys                           | 275    | 0x0113       |
| NtLockRegistryKey                                     | 276    | 0x0114       |
| NtLockVirtualMemory                                   | 277    | 0x0115       |
| NtMakePermanentObject                                 | 278    | 0x0116       |
| NtMakeTemporaryObject                                 | 279    | 0x0117       |
| NtManageHotPatch                                      | 280    | 0x0118       |
| NtManagePartition                                     | 281    | 0x0119       |
| NtMapCMFModule                                        | 282    | 0x011A       |
| NtMapUserPhysicalPages                                | 283    | 0x011B       |
| NtMapUserPhysicalPagesScatter                         | 3      | 0x0003       |
| NtMapViewOfSection                                    | 40     | 0x0028       |
| NtMapViewOfSectionEx                                  | 284    | 0x011C       |
| NtModifyBootEntry                                     | 285    | 0x011D       |
| NtModifyDriverEntry                                   | 286    | 0x011E       |
| NtNotifyChangeDirectoryFile                           | 287    | 0x011F       |
| NtNotifyChangeDirectoryFileEx                         | 288    | 0x0120       |
| NtNotifyChangeKey                                     | 289    | 0x0121       |
| NtNotifyChangeMultipleKeys                            | 290    | 0x0122       |
| NtNotifyChangeSession                                 | 291    | 0x0123       |
| NtOpenCpuPartition                                    | 292    | 0x0124       |
| NtOpenDirectoryObject                                 | 88     | 0x0058       |
| NtOpenEnlistment                                      | 293    | 0x0125       |
| NtOpenEvent                                           | 64     | 0x0040       |
| NtOpenEventPair                                       | 294    | 0x0126       |
| NtOpenFile                                            | 51     | 0x0033       |
| NtOpenIoCompletion                                    | 295    | 0x0127       |
| NtOpenJobObject                                       | 296    | 0x0128       |
| NtOpenKey                                             | 18     | 0x0012       |
| NtOpenKeyEx                                           | 297    | 0x0129       |
| NtOpenKeyTransacted                                   | 298    | 0x012A       |
| NtOpenKeyTransactedEx                                 | 299    | 0x012B       |
| NtOpenKeyedEvent                                      | 300    | 0x012C       |
| NtOpenMutant                                          | 301    | 0x012D       |
| NtOpenObjectAuditAlarm                                | 302    | 0x012E       |
| NtOpenPartition                                       | 303    | 0x012F       |
| NtOpenPrivateNamespace                                | 304    | 0x0130       |
| NtOpenProcess                                         | 38     | 0x0026       |
| NtOpenProcessToken                                    | 305    | 0x0131       |
| NtOpenProcessTokenEx                                  | 48     | 0x0030       |
| NtOpenRegistryTransaction                             | 306    | 0x0132       |
| NtOpenResourceManager                                 | 307    | 0x0133       |
| NtOpenSection                                         | 55     | 0x0037       |
| NtOpenSemaphore                                       | 308    | 0x0134       |
| NtOpenSession                                         | 309    | 0x0135       |
| NtOpenSymbolicLinkObject                              | 310    | 0x0136       |
| NtOpenThread                                          | 311    | 0x0137       |
| NtOpenThreadToken                                     | 36     | 0x0024       |
| NtOpenThreadTokenEx                                   | 47     | 0x002F       |
| NtOpenTimer                                           | 312    | 0x0138       |
| NtOpenTransaction                                     | 313    | 0x0139       |
| NtOpenTransactionManager                              | 314    | 0x013A       |
| NtPlugPlayControl                                     | 315    | 0x013B       |
| NtPowerInformation                                    | 95     | 0x005F       |
| NtPrePrepareComplete                                  | 316    | 0x013C       |
| NtPrePrepareEnlistment                                | 317    | 0x013D       |
| NtPrepareComplete                                     | 318    | 0x013E       |
| NtPrepareEnlistment                                   | 319    | 0x013F       |
| NtPrivilegeCheck                                      | 320    | 0x0140       |
| NtPrivilegeObjectAuditAlarm                           | 321    | 0x0141       |
| NtPrivilegedServiceAuditAlarm                         | 322    | 0x0142       |
| NtPropagationComplete                                 | 323    | 0x0143       |
| NtPropagationFailed                                   | 324    | 0x0144       |
| NtProtectVirtualMemory                                | 80     | 0x0050       |
| NtPssCaptureVaSpaceBulk                               | 325    | 0x0145       |
| NtPulseEvent                                          | 326    | 0x0146       |
| NtQueryAttributesFile                                 | 61     | 0x003D       |
| NtQueryAuxiliaryCounterFrequency                      | 327    | 0x0147       |
| NtQueryBootEntryOrder                                 | 328    | 0x0148       |
| NtQueryBootOptions                                    | 329    | 0x0149       |
| NtQueryDebugFilterState                               | 330    | 0x014A       |
| NtQueryDefaultLocale                                  | 21     | 0x0015       |
| NtQueryDefaultUILanguage                              | 68     | 0x0044       |
| NtQueryDirectoryFile                                  | 53     | 0x0035       |
| NtQueryDirectoryFileEx                                | 331    | 0x014B       |
| NtQueryDirectoryObject                                | 332    | 0x014C       |
| NtQueryDriverEntryOrder                               | 333    | 0x014D       |
| NtQueryEaFile                                         | 334    | 0x014E       |
| NtQueryEvent                                          | 86     | 0x0056       |
| NtQueryFullAttributesFile                             | 335    | 0x014F       |
| NtQueryInformationAtom                                | 336    | 0x0150       |
| NtQueryInformationByName                              | 337    | 0x0151       |
| NtQueryInformationCpuPartition                        | 338    | 0x0152       |
| NtQueryInformationEnlistment                          | 339    | 0x0153       |
| NtQueryInformationFile                                | 17     | 0x0011       |
| NtQueryInformationJobObject                           | 340    | 0x0154       |
| NtQueryInformationPort                                | 341    | 0x0155       |
| NtQueryInformationProcess                             | 25     | 0x0019       |
| NtQueryInformationResourceManager                     | 342    | 0x0156       |
| NtQueryInformationThread                              | 37     | 0x0025       |
| NtQueryInformationToken                               | 33     | 0x0021       |
| NtQueryInformationTransaction                         | 343    | 0x0157       |
| NtQueryInformationTransactionManager                  | 344    | 0x0158       |
| NtQueryInformationWorkerFactory                       | 345    | 0x0159       |
| NtQueryInstallUILanguage                              | 346    | 0x015A       |
| NtQueryIntervalProfile                                | 347    | 0x015B       |
| NtQueryIoCompletion                                   | 348    | 0x015C       |
| NtQueryIoRingCapabilities                             | 349    | 0x015D       |
| NtQueryKey                                            | 22     | 0x0016       |
| NtQueryLicenseValue                                   | 350    | 0x015E       |
| NtQueryMultipleValueKey                               | 351    | 0x015F       |
| NtQueryMutant                                         | 352    | 0x0160       |
| NtQueryObject                                         | 16     | 0x0010       |
